n_samples,n_dimensions,repetition,seed,n_classes,k,offline_chunk_size,total_seconds,clustering_seconds,overlap_scoring_seconds,other_seconds,index
250,10,0,20260807,5,8,10000,0.005292125046253204,0.004020125139504671,0.0009952499531209469,0.00027674995362758636,0.46799999999999997
250,10,1,20260808,5,8,10000,0.007173917256295681,0.005735083017498255,0.0011560837738215923,0.0002827504649758339,0.44799999999999995
250,10,2,20260809,5,8,10000,0.005988582968711853,0.0045967078767716885,0.0011123749427497387,0.00027950014919042587,0.376
250,25,0,20260810,5,8,10000,0.0061658332124352455,0.0048072501085698605,0.0010830843821167946,0.00027549872174859047,0.384
250,25,1,20260811,5,8,10000,0.0065939160995185375,0.005221415776759386,0.0010879579931497574,0.0002845423296093941,0.33599999999999997
250,25,2,20260812,5,8,10000,0.006707584019750357,0.005327749997377396,0.001107499934732914,0.0002723340876400471,0.39599999999999996
250,50,0,20260813,5,8,10000,0.007638874929398298,0.006101000122725964,0.0012403749860823154,0.0002974998205900192,0.348
250,50,1,20260814,5,8,10000,0.006829958874732256,0.005289624910801649,0.001255583018064499,0.00028475094586610794,0.348
250,50,2,20260815,5,8,10000,0.006386749912053347,0.00496162474155426,0.001130084041506052,0.00029504112899303436,0.33999999999999997
250,100,0,20260816,5,8,10000,0.00773879187181592,0.006218334194272757,0.0012302082031965256,0.0002902494743466377,0.23199999999999998
250,100,1,20260817,5,8,10000,0.007507707923650742,0.006004416849464178,0.0011781668290495872,0.00032512424513697624,0.26800000000000007
250,100,2,20260818,5,8,10000,0.007879250217229128,0.006350624840706587,0.001225875224918127,0.000302750151604414,0.308
250,250,0,20260819,5,8,10000,0.009548291098326445,0.007963542360812426,0.001286500133574009,0.00029824860394001007,0.20800000000000002
250,250,1,20260820,5,8,10000,0.009173040743917227,0.007521291263401508,0.0013312501832842827,0.0003204992972314358,0.308
250,250,2,20260821,5,8,10000,0.0092809172347188,0.007638083305209875,0.0013258750550448895,0.00031695887446403503,0.24800000000000005
250,500,0,20260822,5,8,10000,0.010501416865736246,0.008333958219736814,0.0016516661271452904,0.0005157925188541412,0.24400000000000005
250,500,1,20260823,5,8,10000,0.013037125114351511,0.011047666892409325,0.0016700001433491707,0.00031945807859301567,0.184
250,500,2,20260824,5,8,10000,0.013708750251680613,0.011247875168919563,0.0020368751138448715,0.00042399996891617775,0.2
500,10,0,20260825,5,8,10000,0.009343749843537807,0.0074437083676457405,0.001384334173053503,0.0005157073028385639,0.4640000000000001
500,10,1,20260826,5,8,10000,0.00898962514474988,0.007055209018290043,0.0013714577071368694,0.0005629584193229675,0.404
500,10,2,20260827,5,8,10000,0.00932266702875495,0.007348624989390373,0.0014442079700529575,0.0005298340693116188,0.42800000000000005
500,25,0,20260828,5,8,10000,0.009394166059792042,0.007515291683375835,0.0013352502137422562,0.0005436241626739502,0.41600000000000004
500,25,1,20260829,5,8,10000,0.009353959001600742,0.007405667100101709,0.0013957922346889973,0.0005524996668100357,0.402
500,25,2,20260830,5,8,10000,0.008641875348985195,0.006658582948148251,0.001441208180040121,0.0005420842207968235,0.406
500,50,0,20260831,5,8,10000,0.01063604187220335,0.008440416306257248,0.0015934589318931103,0.0006021666340529919,0.41200000000000003
500,50,1,20260832,5,8,10000,0.009743208065629005,0.007845708169043064,0.001385166309773922,0.0005123335868120193,0.376
500,50,2,20260833,5,8,10000,0.010655082762241364,0.008414958138018847,0.0016575828194618225,0.0005825418047606945,0.372
500,100,0,20260834,5,8,10000,0.011293832678347826,0.00909208320081234,0.0016569592989981174,0.0005447901785373688,0.34800000000000003
500,100,1,20260835,5,8,10000,0.009384125005453825,0.007360375020653009,0.0014754999428987503,0.0005482500419020653,0.278
500,100,2,20260836,5,8,10000,0.009476458188146353,0.007335166912525892,0.0016149580478668213,0.0005263332277536392,0.312
500,250,0,20260837,5,8,10000,0.011109374929219484,0.008865375071763992,0.001649125013500452,0.00059487484395504,0.188
500,250,1,20260838,5,8,10000,0.011101500131189823,0.008674959186464548,0.001875624991953373,0.0005509159527719021,0.27
500,250,2,20260839,5,8,10000,0.010652665980160236,0.008144207764416933,0.0019303751178085804,0.0005780830979347229,0.266
500,500,0,20260840,5,8,10000,0.017711332999169827,0.014910832978785038,0.0019600829109549522,0.0008404171094298363,0.13999999999999999
500,500,1,20260841,5,8,10000,0.01551433326676488,0.012271333020180464,0.0025415001437067986,0.0007015001028776169,0.192
500,500,2,20260842,5,8,10000,0.01415412500500679,0.011177917011082172,0.002129167318344116,0.0008470406755805016,0.21000000000000005
1000,10,0,20260843,5,8,10000,0.01048591686412692,0.0077146668918430805,0.0018143337219953537,0.0009569162502884865,0.429
1000,10,1,20260844,5,8,10000,0.011423875112086535,0.008661500178277493,0.0018068328499794006,0.0009555420838296413,0.442
1000,10,2,20260845,5,8,10000,0.010300833731889725,0.007592541165649891,0.0017596250399947166,0.0009486675262451172,0.43499999999999994
1000,25,0,20260846,5,8,10000,0.011752957943826914,0.008871750440448523,0.0018946672789752483,0.000986540224403143,0.442
1000,25,1,20260847,5,8,10000,0.009866124950349331,0.007067000027745962,0.0018414999358356,0.0009576249867677689,0.441
1000,25,2,20260848,5,8,10000,0.01186579093337059,0.009074999950826168,0.001812291331589222,0.0009784996509552002,0.43800000000000006
1000,50,0,20260849,5,8,10000,0.010331708006560802,0.0074967918917536736,0.0018829172477126122,0.0009519988670945168,0.446
1000,50,1,20260850,5,8,10000,0.01096433401107788,0.008044667076319456,0.001976707950234413,0.0009429589845240116,0.43499999999999994
1000,50,2,20260851,5,8,10000,0.012479208409786224,0.009558916091918945,0.0019751661457121372,0.0009451261721551418,0.425
1000,100,0,20260852,5,8,10000,0.013522958382964134,0.010640875436365604,0.0019232500344514847,0.0009588329121470451,0.37300000000000005
1000,100,1,20260853,5,8,10000,0.01320204185321927,0.010321040637791157,0.00192958302795887,0.000951418187469244,0.398
1000,100,2,20260854,5,8,10000,0.011020292062312365,0.008076167199760675,0.0019847918301820755,0.0009593330323696136,0.352
1000,250,0,20260855,5,8,10000,0.017559791915118694,0.014151500072330236,0.002323832828551531,0.001084459014236927,0.337
1000,250,1,20260856,5,8,10000,0.012154333293437958,0.008731583133339882,0.002332791220396757,0.0010899589397013187,0.254
1000,250,2,20260857,5,8,10000,0.01664375001564622,0.013234459329396486,0.002279750071465969,0.0011295406147837639,0.296
1000,500,0,20260858,5,8,10000,0.018916916102170944,0.014606125187128782,0.0030763340182602406,0.0012344568967819214,0.24800000000000005
