n_samples,n_dimensions,n_repetitions,median_total_seconds,mean_total_seconds,std_total_seconds,min_total_seconds,max_total_seconds,median_clustering_seconds,mean_clustering_seconds,std_clustering_seconds,min_clustering_seconds,max_clustering_seconds,median_overlap_scoring_seconds,mean_overlap_scoring_seconds,std_overlap_scoring_seconds,min_overlap_scoring_seconds,max_overlap_scoring_seconds,median_other_seconds,mean_other_seconds,std_other_seconds,min_other_seconds,max_other_seconds,median_index,mean_index,std_index,min_index,max_index
250,10,3,0.005988582968711853,0.006151541757086913,0.0007768320948895104,0.005292125046253204,0.007173917256295681,0.0045967078767716885,0.0047839720112582045,0.0007125405358629556,0.004020125139504671,0.005735083017498255,0.0011123749427497387,0.001087902889897426,6.790208881616055e-05,0.0009952499531209469,0.0011560837738215923,0.00027950014919042587,0.00027966685593128204,2.4525330392877493e-06,0.00027674995362758636,0.0002827504649758339,0.44799999999999995,0.4306666666666666,0.03950808637341079,0.376,0.46799999999999997
250,25,3,0.0065939160995185375,0.006489111110568047,0.0002332545799312103,0.0061658332124352455,0.006707584019750357,0.005221415776759386,0.005118805294235547,0.00022453910855349212,0.0048072501085698605,0.005327749997377396,0.0010879579931497574,0.0010928474366664886,1.0550191019284993e-05,0.0010830843821167946,0.001107499934732914,0.00027549872174859047,0.00027745837966601056,5.173038266532332e-06,0.0002723340876400471,0.0002845423296093941,0.384,0.37199999999999994,0.025922962793631446,0.33599999999999997,0.39599999999999996
250,50,3,0.006829958874732256,0.006951861238727967,0.0005183945759271798,0.006386749912053347,0.007638874929398298,0.005289624910801649,0.005450749925027291,0.00047889805279895846,0.00496162474155426,0.006101000122725964,0.0012403749860823154,0.0012086806818842888,5.592193945284914e-05,0.001130084041506052,0.001255583018064499,0.00029504112899303436,0.0002924306318163872,5.5223469233927596e-06,0.00028475094586610794,0.0002974998205900192,0.348,0.3453333333333333,0.0037712361663282566,0.33999999999999997,0.348
250,100,3,0.00773879187181592,0.007708583337565263,0.00015317818738439182,0.007507707923650742,0.007879250217229128,0.006218334194272757,0.0061911252948145075,0.0001426422949369571,0.006004416849464178,0.006350624840706587,0.001225875224918127,0.0012114167523880799,2.3577697466065962e-05,0.0011781668290495872,0.0012302082031965256,0.000302750151604414,0.00030604129036267597,1.4426505817747713e-05,0.0002902494743466377,0.00032512424513697624,0.26800000000000007,0.26933333333333337,0.03104119127152751,0.23199999999999998,0.308
250,250,3,0.0092809172347188,0.009334083025654158,0.0001577406270123997,0.009173040743917227,0.009548291098326445,0.007638083305209875,0.007707638976474603,0.00018712741086241274,0.007521291263401508,0.007963542360812426,0.0013258750550448895,0.0013145417906343937,1.9949501228796842e-05,0.001286500133574009,0.0013312501832842827,0.00031695887446403503,0.0003119022585451603,9.762184229653298e-06,0.00029824860394001007,0.0003204992972314358,0.24800000000000005,0.25466666666666665,0.041096093353126494,0.20800000000000002,0.308
250,500,3,0.013037125114351511,0.012415764077256123,0.001381138181830124,0.010501416865736246,0.013708750251680613,0.011047666892409325,0.0102098334270219,0.0013289599149901522,0.008333958219736814,0.011247875168919563,0.0016700001433491707,0.0017861804614464443,0.00017742583538560042,0.0016516661271452904,0.0020368751138448715,0.00042399996891617775,0.0004197501887877782,8.020951141237209e-05,0.00031945807859301567,0.0005157925188541412,0.2,0.20933333333333337,0.02536839678725395,0.184,0.24400000000000005
500,10,3,0.00932266702875495,0.009218680672347546,0.00016219524718083007,0.00898962514474988,0.009343749843537807,0.007348624989390373,0.007282514125108719,0.00016534997408426487,0.007055209018290043,0.0074437083676457405,0.001384334173053503,0.00139999995008111,3.169871307586487e-05,0.0013714577071368694,0.0014442079700529575,0.0005298340693116188,0.0005361665971577168,1.980307524850411e-05,0.0005157073028385639,0.0005629584193229675,0.42800000000000005,0.4320000000000001,0.024657656011875927,0.404,0.4640000000000001
500,25,3,0.009353959001600742,0.00913000013679266,0.00034554643511995256,0.008641875348985195,0.009394166059792042,0.007405667100101709,0.007193180577208598,0.00038065763800928815,0.006658582948148251,0.007515291683375835,0.0013957922346889973,0.0013907502094904582,4.340383369451671e-05,0.0013352502137422562,0.001441208180040121,0.0005436241626739502,0.0005460693500936031,4.590176834026931e-06,0.0005420842207968235,0.0005524996668100357,0.406,0.4080000000000001,0.005887840577551903,0.402,0.41600000000000004
500,50,3,0.01063604187220335,0.01034477756669124,0.0004254448944572094,0.009743208065629005,0.010655082762241364,0.008414958138018847,0.00823369420443972,0.00027454435261553485,0.007845708169043064,0.008440416306257248,0.0015934589318931103,0.0015454026870429516,0.00011628912442545464,0.001385166309773922,0.0016575828194618225,0.0005825418047606945,0.0005656806752085686,3.856351783296298e-05,0.0005123335868120193,0.0006021666340529919,0.376,0.3866666666666667,0.017987650084309404,0.372,0.41200000000000003
500,100,3,0.009476458188146353,0.010051471957316002,0.0008792900450661202,0.009384125005453825,0.011293832678347826,0.007360375020653009,0.00792920837799708,0.0008223410696833979,0.007335166912525892,0.00909208320081234,0.0016149580478668213,0.0015824724299212296,7.7560131549568e-05,0.0014754999428987503,0.0016569592989981174,0.0005447901785373688,0.0005397911493976911,9.620443678565353e-06,0.0005263332277536392,0.0005482500419020653,0.312,0.3126666666666667,0.028581268146968025,0.278,0.34800000000000003
